shared_interests_o,field,shared_interests_partner,d_funny_o_[0-5],funny_partner,d_attractive_o_[0-5],interests_correlate,d_like_[0-5],d_shared_interests_o_[0-5],d_shared_interests_partner_[0-5],d_attractive_partner_[0-5],d_funny_partner_[0-5],d_guess_prob_liked_[0-4],attractive_o,guess_prob_liked,expected_num_matches,pref_o_shared_interests,funny_o,d_guess_prob_liked_[7-10],attractive_partner,like,pref_o_intelligence,pref_o_attractive,d_funny_o_[9-10],match
5.0,126,4.0,0,4.0,0,0.21,0,1,1,0,1,1,7.0,3.0,2.0,0.0,6.0,0,6.0,7.0,0.0,60.0,0,0
10.0,126,8.0,0,7.0,0,0.52,0,0,0,1,0,0,10.0,8.0,2.0,12.0,10.0,1,3.0,7.0,19.0,19.0,1,0
9.0,126,6.0,0,7.0,0,-0.46,0,0,0,0,0,0,8.0,6.0,2.0,5.0,8.0,0,7.0,8.0,15.0,30.0,0,1
5.0,126,5.0,0,4.0,0,-0.27,1,1,1,1,1,0,8.0,6.0,2.0,20.0,6.0,0,4.0,5.0,20.0,30.0,0,0
6.0,126,4.0,0,4.0,0,0.59,1,0,1,1,1,0,8.0,5.0,2.0,10.0,6.0,0,4.0,5.0,30.0,50.0,0,0
3.0,126,7.0,1,7.0,0,0.31,0,1,0,0,0,0,7.0,7.0,2.0,10.0,4.0,1,7.0,8.0,25.0,35.0,0,0
5.0,126,5.0,0,5.0,0,0.08,1,1,1,1,1,0,8.0,7.0,2.0,22.22,7.0,1,5.0,5.0,11.11,33.33,0,0
10.0,126,6.0,0,8.0,0,-0.34,0,0,0,0,0,0,9.0,6.0,2.0,15.0,9.0,0,6.0,6.0,25.0,50.0,1,1
7.0,126,6.0,0,7.0,0,-0.16,0,0,0,0,0,0,7.0,5.0,2.0,0.0,6.0,0,8.0,7.0,0.0,100.0,0,0
5.0,144,5.0,0,4.0,0,-0.03,1,1,1,1,1,0,8.0,5.0,3.0,5.0,6.0,0,5.0,4.0,20.0,35.0,0,0
5.0,144,7.0,0,9.0,0,-0.11,0,1,0,0,0,0,8.0,7.0,3.0,0.0,7.0,1,8.0,8.0,0.0,60.0,0,1
10.0,144,7.0,0,6.0,0,0.42,1,0,0,1,0,0,10.0,5.0,3.0,12.0,10.0,0,5.0,5.0,19.0,19.0,1,1
7.0,144,5.0,0,6.0,0,-0.4,1,0,1,0,0,0,8.0,6.0,3.0,5.0,8.0,0,8.0,5.0,15.0,30.0,0,1
7.0,144,7.0,0,5.0,0,-0.23,0,0,0,0,1,0,9.0,5.0,3.0,20.0,9.0,0,6.0,6.0,20.0,30.0,1,1
7.0,144,7.0,0,5.0,0,0.28,0,0,0,0,1,0,8.0,5.0,3.0,10.0,7.0,0,6.0,6.0,30.0,50.0,0,1
4.0,144,7.0,1,5.0,0,0.05,0,1,0,0,1,0,6.0,6.0,3.0,10.0,5.0,0,6.0,6.0,25.0,35.0,0,0
5.0,144,6.0,0,4.0,0,0.17,1,1,0,1,1,1,9.0,4.0,3.0,22.22,8.0,0,5.0,5.0,11.11,33.33,0,1
10.0,144,9.0,0,9.0,0,-0.47,0,0,0,0,0,0,8.0,10.0,3.0,15.0,10.0,1,8.0,7.0,25.0,50.0,1,1
8.0,144,8.0,0,7.0,0,-0.21,0,0,0,0,0,0,8.0,7.0,3.0,0.0,9.0,1,7.0,8.0,0.0,100.0,1,1
5.0,144,6.0,0,8.0,0,0.19,1,1,0,0,0,0,6.0,5.0,1.0,5.0,8.0,0,8.0,5.0,20.0,35.0,0,0
5.0,144,10.0,0,10.0,0,0.03,0,1,0,0,0,0,8.0,5.0,1.0,0.0,7.0,0,10.0,10.0,0.0,60.0,0,1
10.0,144,6.0,0,6.0,0,0.68,0,0,0,1,0,0,10.0,5.0,1.0,12.0,10.0,0,5.0,8.0,19.0,19.0,1,1
7.0,144,7.0,0,8.0,0,-0.26,0,0,0,0,0,0,7.0,5.0,1.0,5.0,8.0,0,10.0,7.0,15.0,30.0,0,1
7.0,144,5.0,0,8.0,0,-0.01,1,0,1,1,0,0,7.0,5.0,1.0,20.0,9.0,0,5.0,5.0,20.0,30.0,1,1
7.0,144,5.0,0,7.0,0,0.42,0,0,1,0,0,0,6.0,5.0,1.0,10.0,8.0,0,8.0,6.0,30.0,50.0,0,1
5.0,144,6.0,0,6.0,0,0.21,0,1,0,0,0,0,8.0,5.0,1.0,10.0,8.0,0,6.0,7.0,25.0,35.0,0,1
5.0,144,6.0,0,7.0,0,0.1,0,1,0,0,0,0,7.0,5.0,1.0,22.22,7.0,0,6.0,7.0,11.11,33.33,0,0
6.0,144,5.0,0,6.0,0,-0.35,0,0,1,0,0,0,6.0,6.0,1.0,15.0,7.0,0,8.0,7.0,25.0,50.0,0,1
6.0,144,8.0,0,8.0,1,-0.23,0,0,0,0,0,0,5.0,5.0,1.0,0.0,6.0,0,7.0,8.0,0.0,100.0,0,0
5.0,146,6.0,0,6.0,0,0.3,0,1,1,0,0,1,7.0,3.0,3.0,5.0,8.0,0,6.0,6.0,20.0,35.0,0,0
1.0,146,6.0,1,1.0,1,0.65,1,1,1,1,1,1,1.0,1.0,3.0,0.0,1.0,0,1.0,1.0,0.0,60.0,0,0
10.0,146,6.0,0,10.0,0,-0.15,0,0,1,0,0,0,10.0,6.0,3.0,12.0,10.0,0,6.0,7.0,19.0,19.0,1,1
8.0,146,6.0,0,10.0,0,0.17,0,0,1,0,0,1,7.0,1.0,3.0,5.0,9.0,0,10.0,10.0,15.0,30.0,1,0
6.0,146,6.0,0,7.0,0,0.24,0,1,1,1,0,1,6.0,1.0,3.0,20.0,7.0,0,5.0,6.0,20.0,30.0,0,0
7.0,146,6.0,0,4.0,1,0.15,0,0,1,1,1,1,6.190411462160177,1.0,3.0,10.0,7.0,0,5.0,6.0,30.0,50.0,0,0
4.0,146,6.0,1,6.0,0,0.41,0,1,1,1,0,1,7.0,1.0,3.0,10.0,3.0,0,5.0,7.0,25.0,35.0,0,0
5.0,146,6.0,0,4.0,0,0.07,1,1,1,1,1,0,6.0,5.0,3.0,22.22,6.0,0,5.0,5.0,11.11,33.33,0,0
6.0,146,9.0,0,9.0,0,0.49,0,0,0,0,0,0,7.0,9.0,3.0,15.0,7.0,1,9.0,9.0,25.0,50.0,0,1
6.0,146,8.0,0,10.0,0,0.08,0,0,0,0,0,0,6.0,10.0,3.0,0.0,6.0,1,9.0,9.0,0.0,100.0,0,0
5.0,85,6.0,0,8.0,0,0.14,0,1,0,0,0,1,6.0,4.0,0.0,15.0,7.0,0,6.0,7.0,20.0,15.0,0,0
3.0,85,4.0,1,9.0,1,0.29,0,1,1,0,0,1,5.0,2.0,0.0,5.0,4.0,0,8.0,7.0,25.0,45.0,0,0
9.0,85,4.0,0,5.0,0,-0.24,1,0,1,0,1,1,7.0,2.0,0.0,0.0,7.0,0,7.0,5.0,35.0,35.0,0,0
7.0,85,5.0,1,7.0,1,-0.18,0,0,1,0,0,1,4.0,3.0,0.0,10.0,5.0,0,6.0,6.0,20.0,20.0,0,0
2.0,85,6.0,1,8.0,1,-0.43,0,1,0,0,0,0,5.0,5.0,0.0,15.0,2.0,0,6.0,6.0,25.0,20.0,0,0
6.0,85,4.0,0,9.0,0,0.33,0,0,1,0,0,1,6.0,4.0,0.0,15.0,6.0,0,7.0,7.0,20.0,10.0,0,0
4.0,85,7.0,1,8.0,1,0.19,0,1,0,0,0,1,4.0,4.0,0.0,10.0,5.0,0,7.0,7.0,25.0,15.0,0,0
5.0,85,5.0,1,6.0,1,-0.03,0,1,1,0,0,1,5.0,4.0,0.0,9.09,4.0,0,8.0,7.0,27.27,9.09,0,0
6.0,85,5.0,0,8.0,0,0.19,0,0,1,0,0,1,8.0,4.0,0.0,10.0,8.0,0,6.0,6.0,20.0,20.0,0,0
6.0,85,5.0,0,8.0,0,0.3,0,1,1,0,0,1,6.0,3.0,0.0,5.0,6.0,0,7.0,6.0,15.0,15.0,0,0
6.0,126,5.0,0,7.0,0,0.54,0,0,1,0,0,1,7.0,4.0,3.0,15.0,8.0,0,7.0,8.0,20.0,15.0,0,0
6.0,126,5.0,0,6.0,0,0.18,0,0,1,0,0,1,8.0,4.0,3.0,5.0,6.0,0,7.0,8.0,25.0,45.0,0,0
7.0,126,5.0,0,6.0,0,-0.14,0,0,1,0,0,1,9.0,3.0,3.0,0.0,8.0,0,6.0,7.0,35.0,35.0,0,0
8.0,126,5.0,0,6.0,0,-0.18,0,0,1,0,0,1,8.0,3.0,3.0,10.0,10.0,0,6.0,6.0,20.0,20.0,1,0
5.0,126,5.0,1,7.0,0,0.0,0,1,1,0,0,1,8.0,4.0,3.0,15.0,5.0,0,6.0,7.0,25.0,20.0,0,0
2.0,126,6.0,0,6.0,0,0.37,0,1,0,0,0,1,6.0,4.0,3.0,15.0,6.0,0,6.0,7.0,20.0,10.0,0,0
4.0,126,5.0,1,6.0,0,0.21,0,1,1,0,0,1,6.0,4.0,3.0,10.0,4.0,0,7.0,8.0,25.0,15.0,0,0
7.0,126,5.0,0,7.0,0,-0.11,0,0,1,0,0,1,8.0,4.0,3.0,9.09,9.0,0,8.0,9.0,27.27,9.09,1,1
10.0,126,5.0,0,7.0,0,0.03,0,0,1,0,0,1,10.0,4.0,3.0,10.0,10.0,0,8.0,8.0,20.0,20.0,1,1
6.0,126,1.0,1,1.0,1,0.65,1,1,1,1,1,1,1.0,1.0,3.0,5.0,1.0,0,1.0,1.0,15.0,15.0,0,0
7.0,126,10.0,0,10.0,1,0.16,0,0,0,0,0,0,5.0,10.0,3.0,15.0,8.0,1,10.0,10.0,20.0,15.0,0,1
4.0,126,10.0,0,10.0,1,0.1,0,1,0,0,0,0,5.0,10.0,3.0,5.0,6.0,1,10.0,10.0,25.0,45.0,0,0
7.0,126,10.0,0,10.0,0,0.09,0,0,0,0,0,0,7.0,10.0,3.0,0.0,7.0,1,10.0,10.0,35.0,35.0,0,0
7.0,126,10.0,0,10.0,1,0.05,0,0,0,0,0,0,4.0,10.0,3.0,10.0,8.0,1,10.0,10.0,20.0,20.0,0,0
5.0,126,10.0,0,10.0,1,-0.17,0,1,0,0,0,0,4.0,10.0,3.0,15.0,8.0,1,10.0,10.0,25.0,20.0,0,0
2.0,126,10.0,1,10.0,1,-0.51,0,1,0,0,0,0,4.0,10.0,3.0,15.0,4.0,1,10.0,10.0,20.0,10.0,0,0
8.0,126,10.0,0,10.0,1,0.52,0,0,0,0,0,0,3.0,10.0,3.0,10.0,7.0,1,10.0,10.0,25.0,15.0,0,0
7.0,126,10.0,0,10.0,1,0.42,0,0,0,0,0,0,5.0,10.0,3.0,9.09,6.0,1,10.0,10.0,27.27,9.09,0,1
6.0,126,10.0,0,10.0,1,0.68,0,0,0,0,0,0,5.0,10.0,3.0,10.0,6.0,1,10.0,10.0,20.0,20.0,0,1
6.0,126,10.0,0,10.0,0,-0.15,0,1,0,0,0,0,6.0,10.0,3.0,5.0,10.0,1,10.0,10.0,15.0,15.0,1,1
8.0,126,8.0,0,8.0,0,0.61,0,0,0,0,0,0,7.0,7.0,3.0,15.0,7.0,1,7.0,7.0,20.0,15.0,0,1
7.0,126,9.0,0,9.0,0,-0.21,0,0,0,0,0,0,7.0,7.0,3.0,5.0,6.0,1,9.0,9.0,25.0,45.0,0,1
7.0,126,8.0,0,8.0,0,-0.04,0,0,0,0,0,0,9.0,7.0,3.0,0.0,7.0,1,7.0,7.0,35.0,35.0,0,0
10.0,126,9.0,0,9.0,0,-0.18,0,0,0,0,0,0,8.0,10.0,3.0,10.0,10.0,1,7.0,8.0,20.0,20.0,1,1
9.0,126,10.0,0,8.0,0,0.08,0,0,0,0,0,0,8.0,7.0,3.0,15.0,7.0,1,6.0,7.0,25.0,20.0,0,1
8.0,126,8.0,0,7.0,0,0.12,0,0,0,0,0,0,8.0,7.0,3.0,15.0,8.0,1,6.0,7.0,20.0,10.0,0,1
6.0,126,9.0,0,8.0,0,-0.46,0,0,0,0,0,0,7.0,7.0,3.0,10.0,7.0,1,8.0,8.0,25.0,15.0,0,1
5.0,126,7.0,0,8.0,0,-0.4,0,1,0,0,0,0,8.0,7.0,3.0,9.09,6.0,1,8.0,8.0,27.27,9.09,0,1
7.0,126,7.0,0,8.0,0,-0.26,0,0,0,0,0,0,10.0,7.0,3.0,10.0,8.0,1,7.0,7.0,20.0,20.0,0,1
6.0,126,8.0,0,9.0,0,0.17,0,1,0,0,0,0,10.0,7.0,3.0,5.0,10.0,1,7.0,7.0,15.0,15.0,1,0
6.0,126,7.0,0,6.0,1,0.21,0,0,0,0,0,0,5.0,6.0,3.0,15.0,7.0,0,8.0,8.0,20.0,15.0,0,1
8.0,126,8.0,0,10.0,0,0.32,0,0,0,0,0,1,6.0,1.0,3.0,5.0,9.0,0,10.0,10.0,25.0,45.0,1,0
10.0,126,6.0,0,6.0,0,-0.14,0,0,1,0,0,1,9.0,1.0,3.0,0.0,10.0,0,6.0,6.0,35.0,35.0,1,0
9.0,126,9.0,0,8.0,0,0.21,0,0,0,0,0,0,6.0,7.0,3.0,10.0,9.0,1,8.0,9.0,20.0,20.0,1,0
8.0,126,5.0,1,7.0,0,-0.16,1,0,1,1,0,0,6.0,7.0,3.0,15.0,5.0,1,5.0,5.0,25.0,20.0,0,0
2.0,126,6.0,0,7.0,1,0.35,0,1,0,0,0,1,5.0,2.0,3.0,15.0,8.0,0,9.0,9.0,20.0,10.0,0,0
5.0,126,5.0,1,6.0,1,-0.27,0,1,1,0,0,1,4.0,4.0,3.0,10.0,4.0,0,8.0,8.0,25.0,15.0,0,0
7.0,126,7.0,1,9.0,0,-0.23,0,0,0,0,0,0,6.0,7.0,3.0,9.09,5.0,1,9.0,9.0,27.27,9.09,0,1
5.0,126,7.0,0,9.0,1,-0.01,0,1,0,0,0,0,5.0,8.0,3.0,10.0,8.0,1,7.0,7.0,20.0,20.0,0,1
6.0,126,6.0,0,7.0,1,0.24,0,1,1,0,0,0,5.0,6.0,3.0,5.0,7.0,0,6.0,6.0,15.0,15.0,0,0
4.0,30,7.0,1,8.0,1,0.25,0,1,0,0,0,0,4.0,6.0,3.0,15.0,4.0,0,7.0,7.0,20.0,15.0,0,0
2.0,30,7.0,1,5.0,0,0.73,0,1,0,0,1,0,8.0,5.0,3.0,5.0,3.0,0,7.0,7.0,25.0,45.0,0,0
9.0,30,6.0,0,6.0,0,-0.3,0,0,0,0,0,0,8.0,7.0,3.0,0.0,7.0,1,7.0,6.0,35.0,35.0,0,0
2.0,30,7.0,1,7.0,1,0.37,0,1,0,0,0,0,5.0,6.0,3.0,10.0,4.0,0,6.0,6.0,20.0,20.0,0,0
8.0,30,7.0,1,7.0,1,0.06,0,0,0,1,0,0,5.0,7.0,3.0,15.0,5.0,1,5.0,6.0,25.0,20.0,0,0
1.0,30,7.0,1,8.0,1,0.19,0,1,0,0,0,0,3.0,6.0,3.0,15.0,1.0,0,6.0,6.0,20.0,10.0,0,0
4.0,30,6.0,1,6.0,1,0.59,0,1,0,0,0,0,4.0,7.0,3.0,10.0,4.0,1,8.0,7.0,25.0,15.0,0,0
7.0,30,7.0,1,7.0,0,0.28,0,0,0,0,0,0,6.0,6.0,3.0,9.09,5.0,0,8.0,7.0,27.27,9.09,0,1
5.0,30,7.0,0,8.0,0,0.42,0,1,0,0,0,0,8.0,5.0,3.0,10.0,7.0,0,6.0,6.0,20.0,20.0,0,1
6.0,30,7.0,1,7.0,1,0.15,0,1,0,1,0,0,5.0,6.0,3.0,5.0,4.0,0,6.189995107632094,6.0,15.0,15.0,0,0
7.0,251,7.0,1,5.0,0,0.34,1,0,0,1,1,1,7.0,1.0,1.0,15.0,4.0,0,3.0,2.0,20.0,15.0,0,0
9.0,251,3.0,0,3.0,0,0.6,1,0,1,1,1,1,7.0,3.0,1.0,5.0,6.0,0,5.0,4.0,25.0,45.0,0,0
9.0,251,4.0,0,4.0,0,-0.26,1,0,1,0,1,1,8.0,2.0,1.0,0.0,7.0,0,6.0,2.0,35.0,35.0,0,0
5.0,251,5.0,0,5.0,0,0.35,0,1,1,0,1,1,7.0,4.0,1.0,10.0,7.0,0,7.0,6.0,20.0,20.0,0,0
6.0,251,3.0,1,4.0,0,-0.05,1,0,1,1,1,1,6.0,3.0,1.0,15.0,5.0,0,2.0,3.0,25.0,20.0,0,0
4.0,251,4.0,0,4.0,0,0.47,1,1,1,1,1,1,8.0,3.0,1.0,15.0,8.0,0,5.0,3.0,20.0,10.0,0,0
7.0,251,3.0,0,4.0,0,0.31,1,0,1,0,1,1,7.0,4.0,1.0,10.0,7.0,0,7.0,5.0,25.0,15.0,0,0
7.0,251,4.0,1,5.0,0,0.05,1,0,1,0,1,1,6.0,4.0,1.0,9.09,5.0,0,6.0,4.0,27.27,9.09,0,0
6.0,251,5.0,0,8.0,0,0.21,0,0,1,0,0,1,6.0,4.0,1.0,10.0,6.0,0,8.0,8.0,20.0,20.0,0,1
6.0,251,4.0,0,3.0,1,0.41,1,1,1,0,1,0,5.0,6.0,1.0,5.0,6.0,0,7.0,3.0,15.0,15.0,0,0
6.0,30,6.0,0,6.0,1,0.5,0,0,0,0,0,0,4.0,5.0,2.0,15.0,6.0,0,6.0,7.0,20.0,15.0,0,0
5.0,30,5.0,1,7.0,1,0.07,0,1,1,0,0,0,5.0,6.0,2.0,5.0,5.0,0,7.0,7.0,25.0,45.0,0,0
7.0,30,4.0,0,4.0,0,0.29,1,0,1,1,1,1,7.0,1.0,2.0,0.0,8.0,0,4.0,5.0,35.0,35.0,0,0
7.0,30,5.0,1,6.0,1,0.15,0,0,1,0,0,0,5.0,7.0,2.0,10.0,5.0,1,6.0,7.0,20.0,20.0,0,0
5.0,30,5.0,0,5.0,1,0.07,0,1,1,1,1,0,5.0,5.0,2.0,15.0,6.0,0,5.0,6.0,25.0,20.0,0,0
3.0,30,5.0,1,7.0,1,0.03,0,1,1,0,0,0,4.0,6.0,2.0,15.0,2.0,0,6.0,7.0,20.0,10.0,0,0
5.0,30,5.0,1,7.0,1,0.08,0,1,1,0,0,0,5.0,5.0,2.0,10.0,5.0,0,8.0,7.0,25.0,15.0,0,0
