d_funny_partner_[0-5],funny_partner,expected_num_matches,d_attractive_o_[0-5],pref_o_attractive,attractive_o,d_guess_prob_liked_[0-4],shared_interests_partner,field,guess_prob_liked,d_guess_prob_liked_[7-10],pref_o_shared_interests,like,d_funny_o_[9-10],attractive_partner,funny_o,d_shared_interests_partner_[0-5],interests_correlate,d_attractive_partner_[0-5],pref_o_intelligence,shared_interests_o,d_like_[0-5],d_shared_interests_o_[0-5],d_funny_o_[0-5],match
0,9.0,3.0,1,40.0,3.0,0,7.0,0,6.0,0,5.0,9.0,0,8.0,6.0,0,0.21,0,15.0,9.0,0,0,0,0
0,6.0,3.0,0,20.51,6.0,0,5.0,222,6.0,0,20.51,6.0,0,5.0,6.0,1,0.59,1,23.08,7.0,0,0,0,0
1,2.0,5.0,0,20.0,8.0,0,1.0,30,7.0,1,20.0,3.0,0,3.0,6.0,1,0.25,1,20.0,4.0,1,1,0,0
0,7.0,3.0,0,15.0,9.0,0,7.0,114,8.0,1,30.0,7.0,0,7.0,6.0,0,0.6,0,30.0,3.0,0,1,0,1
0,8.0,5.0,0,15.52,8.0,0,6.0,143,6.0,0,15.52,7.0,0,8.0,8.0,1,0.19,0,17.24,7.0,0,0,0,0
0,7.0,2.0,0,2.0,10.0,0,4.0,135,5.0,0,10.0,7.0,1,6.0,10.0,1,0.47,0,15.0,8.0,0,0,0,0
0,10.0,3.0,0,30.0,7.0,0,9.0,23,6.0,0,15.0,8.0,0,8.0,5.0,0,0.91,0,20.0,4.0,0,1,1,0
0,7.0,8.0,0,20.0,9.0,0,6.0,154,7.0,1,5.0,6.0,0,7.0,5.0,0,0.77,0,20.0,7.0,0,0,1,0
1,3.0,2.0,0,18.0,7.0,0,2.0,30,5.0,0,17.0,1.0,0,5.0,6.0,1,-0.22,1,16.0,7.0,1,0,0,0
0,7.0,6.0,0,15.0,7.0,1,6.0,152,4.0,0,20.0,6.0,0,7.0,7.0,0,0.18,0,20.0,7.0,0,0,0,1
0,7.0,0.0,0,30.0,9.0,1,3.0,191,4.0,0,0.0,4.0,1,6.0,9.0,1,0.29,0,25.0,8.0,1,0,0,0
0,9.0,3.0,0,11.54,6.0,0,7.0,160,8.0,1,17.31,8.0,0,7.0,8.0,0,0.48,0,19.23,8.0,0,0,0,1
0,7.0,2.5,0,15.0,8.0,0,5.0,135,6.0,0,15.0,5.0,0,6.0,6.0,1,0.47,0,15.0,5.0,1,1,0,0
0,8.0,3.0,0,20.0,7.0,0,6.0,215,7.0,1,0.0,8.0,0,7.0,6.0,0,0.06,0,20.0,7.0,0,0,0,1
0,6.0,8.0,1,20.0,5.0,0,6.0,255,7.0,1,5.0,7.0,0,6.0,4.0,0,0.01,0,25.0,4.0,0,1,1,1
0,9.0,4.0,0,30.0,6.0,0,8.0,221,8.0,1,5.0,9.0,0,8.0,6.0,0,0.31,0,20.0,7.0,0,0,0,1
1,6.400597907324364,3.0,1,25.0,6.190411462160177,1,6.0,205,5.0,0,15.0,6.0,0,6.189995107632094,6.400598653030681,1,0.19,1,20.0,6.0,1,1,1,0
0,6.0,5.0,1,30.0,4.0,0,5.0,238,6.0,0,10.0,6.0,0,7.0,6.0,1,0.47,0,15.0,5.0,0,1,0,0
1,5.0,4.0,0,20.0,7.0,0,6.0,256,6.0,0,20.0,3.0,0,2.0,6.0,1,0.37,1,20.0,5.0,1,1,0,0
0,6.0,1.0,0,35.0,8.0,0,6.0,144,5.0,0,10.0,7.0,0,6.0,8.0,0,0.21,0,25.0,5.0,0,1,0,1
0,6.0,1.0,0,20.0,9.0,1,5.0,225,4.0,0,10.0,5.0,1,3.0,9.0,1,0.65,1,20.0,7.0,1,0,0,0
0,8.0,10.0,0,20.0,7.0,0,8.0,150,8.0,1,5.0,6.0,0,5.0,5.0,0,-0.21,1,25.0,4.0,0,1,1,0
0,9.0,3.4,0,25.0,6.0,0,9.0,224,8.0,1,10.0,8.0,0,8.0,4.0,0,0.5,0,25.0,6.0,0,1,1,0
1,2.0,2.0,0,25.0,6.0,0,3.0,30,5.0,0,5.0,6.0,0,7.0,7.0,1,-0.19,0,25.0,6.0,0,0,0,0
1,4.0,2.0,0,30.0,8.0,0,5.0,126,6.0,0,20.0,5.0,0,4.0,6.0,1,-0.27,1,20.0,5.0,1,1,0,0
0,7.0,5.0,0,20.51,6.0,0,8.0,159,7.0,1,17.09,7.0,0,6.0,6.0,0,0.18,0,24.79,6.0,0,0,0,0
0,9.0,5.0,0,10.0,6.0,0,6.0,126,7.0,1,15.0,8.5,0,7.0,8.0,1,-0.12,0,20.0,6.0,0,1,0,0
1,6.400597907324364,1.0,1,20.0,6.190411462160177,1,6.0,165,5.0,0,10.0,6.0,0,6.189995107632094,6.400598653030681,1,0.27,1,20.0,6.0,1,1,1,0
1,6.400597907324364,5.0,1,30.0,6.190411462160177,1,6.0,246,5.0,0,5.0,6.0,0,6.189995107632094,6.400598653030681,1,-0.39,1,20.0,6.0,1,1,1,0
1,4.0,1.0,1,9.76,4.0,1,6.0,30,2.0,0,17.07,5.0,0,6.0,4.0,1,0.49,0,19.51,6.0,1,1,1,0
0,8.0,2.0,0,20.0,8.0,0,8.0,79,8.0,1,20.0,6.0,0,6.0,5.0,0,0.32,0,10.0,7.0,0,0,1,0
1,4.0,2.0,0,15.0,10.0,1,4.0,138,4.0,0,5.0,6.0,0,4.0,5.0,1,-0.05,1,20.0,1.0,0,1,1,0
1,5.0,0.0,0,18.75,8.0,0,5.0,85,5.0,0,12.5,5.0,0,5.0,8.0,1,0.52,1,18.75,6.0,1,1,0,0
1,4.0,3.0,0,23.81,8.0,0,4.0,99,8.0,1,2.38,2.0,0,2.0,5.0,1,0.1,1,23.81,6.0,1,0,1,0
1,5.0,2.0,1,10.0,4.0,1,8.0,56,3.0,0,20.0,3.0,0,5.0,5.0,0,0.42,1,25.0,5.0,1,1,1,0
1,2.0,3.0,0,16.0,7.0,0,5.0,191,8.0,1,15.0,4.0,0,3.5,6.0,1,0.29,1,20.0,6.0,1,0,0,0
0,6.0,4.0,0,15.0,6.0,0,7.0,145,8.0,1,10.0,7.0,0,6.0,6.0,0,0.33,0,25.0,6.0,0,0,0,1
0,10.0,5.0,0,17.0,7.0,0,7.0,104,8.0,1,16.0,8.0,0,8.0,7.0,0,-0.09,0,17.0,7.0,0,0,0,1
0,8.0,5.0,0,14.0,7.0,0,6.0,143,6.0,0,14.0,6.0,0,8.0,7.0,1,0.18,0,20.0,7.0,0,0,0,0
1,3.0,2.0,0,95.0,10.0,1,1.0,51,2.0,0,1.0,4.0,1,6.0,9.0,1,-0.34,0,1.0,5.0,1,1,0,0
0,7.0,2.0,0,25.0,6.0,0,6.0,202,6.0,0,15.0,6.0,0,6.0,6.0,0,-0.21,0,25.0,5.0,0,1,0,1
1,6.400597907324364,3.0,1,16.28,5.0,1,6.0,45,3.0,0,11.63,6.0,0,6.0,6.0,1,0.74,0,18.6,5.0,0,1,0,0
0,8.0,1.0,0,18.37,7.0,0,6.0,98,5.0,0,6.12,8.0,0,6.0,7.0,1,0.39,0,20.41,5.0,0,1,0,0
0,6.0,1.0,0,10.0,8.0,0,7.0,85,7.0,1,15.0,6.0,1,7.0,9.0,0,0.43,0,20.0,7.0,0,0,0,0
0,7.0,3.0,0,10.0,10.0,1,7.0,30,1.0,0,15.0,8.0,0,7.0,6.0,0,0.41,0,30.0,8.0,0,0,0,0
0,6.0,4.0,1,25.0,3.0,0,5.0,67,5.0,0,20.0,6.0,0,6.0,4.0,1,-0.06,0,30.0,2.0,0,1,1,0
1,5.0,3.0,0,14.29,6.0,1,5.0,10,2.0,0,9.52,6.0,0,7.0,8.0,1,-0.43,0,21.43,7.0,0,0,0,0
0,7.0,2.0,0,15.0,6.0,1,6.0,92,2.0,0,10.0,7.0,0,7.0,6.0,1,-0.39,0,20.0,4.0,0,1,0,0
0,8.0,3.0,0,16.28,7.0,0,6.0,150,8.0,1,16.28,7.0,0,8.0,7.0,1,0.09,0,18.6,7.0,0,0,0,0
0,7.0,5.0,1,30.0,5.0,0,4.0,0,8.0,1,10.0,4.0,0,4.0,6.0,1,0.21,1,20.0,5.0,1,1,0,0
1,6.400597907324364,7.0,1,15.0,6.190411462160177,1,6.0,126,5.0,0,20.0,6.0,0,6.189995107632094,6.400598653030681,1,0.12,1,20.0,6.0,1,1,1,0
1,4.0,2.0,0,15.0,6.0,1,7.0,220,5.0,0,20.0,8.0,0,10.0,6.0,0,-0.21,0,20.0,5.0,0,1,0,0
0,9.0,2.0,0,25.0,8.0,0,8.0,178,8.0,1,10.0,9.0,0,9.0,8.0,0,-0.44,0,20.0,8.0,0,0,0,1
0,6.0,2.0,0,15.0,6.0,1,5.0,236,4.0,0,20.0,4.0,0,5.0,6.0,1,0.4,1,18.0,5.0,1,1,0,0
1,5.0,2.0,0,10.0,8.0,1,4.0,206,3.0,0,15.0,4.0,1,3.0,9.0,1,0.57,1,30.0,6.0,1,0,0,0
0,7.0,3.0,0,9.09,6.0,0,7.0,30,6.0,0,9.09,7.0,0,8.0,5.0,0,0.28,0,27.27,7.0,0,0,1,1
0,8.0,3.0,1,20.0,5.0,1,6.0,82,4.0,0,10.0,6.0,0,6.0,7.0,1,0.54,0,15.0,3.0,0,1,0,0
1,4.0,2.0,1,10.0,2.0,1,1.0,102,4.0,0,20.0,4.0,0,5.0,2.0,1,0.19,1,20.0,4.0,1,1,1,0
0,6.0,4.0,1,25.0,4.0,0,3.0,195,8.0,1,10.0,5.0,0,6.0,3.0,1,0.33,0,25.0,2.0,1,1,1,0
1,5.0,0.0,0,30.0,6.0,1,5.0,235,0.0,0,0.0,5.0,0,5.0,4.0,1,0.84,1,20.0,3.0,1,1,1,0
0,7.0,3.0,0,20.0,8.0,0,8.0,215,6.0,0,10.0,7.0,0,7.0,8.0,0,0.36,0,20.0,9.0,0,0,0,1
0,10.0,1.0,0,8.0,6.0,0,10.0,109,5.0,0,10.0,8.0,0,5.0,6.0,0,0.64,1,25.0,5.0,0,1,0,0
1,4.0,0.0,1,10.0,5.0,1,4.0,20,3.0,0,15.0,5.0,0,6.0,3.0,1,0.27,0,30.0,3.0,1,1,1,0
1,5.0,1.0,1,20.0,1.0,1,4.0,135,4.0,0,10.0,5.0,0,6.0,2.0,1,-0.07,0,20.0,1.0,1,1,1,0
0,7.0,1.0,0,40.0,6.0,0,7.0,126,6.0,0,10.0,9.0,0,7.0,7.0,0,0.16,0,20.0,6.0,0,0,0,0
0,9.0,5.0,0,50.0,8.0,0,3.0,238,7.0,1,10.0,7.0,0,8.0,8.0,1,0.46,0,20.0,5.0,0,1,0,0
0,8.0,3.0,0,17.02,8.0,0,7.0,128,5.0,0,8.51,6.0,0,5.0,7.0,0,0.36,1,17.02,6.0,0,0,0,0
0,6.0,4.0,1,16.0,5.0,0,6.0,257,7.0,1,16.0,7.0,0,7.0,5.0,0,0.45,0,18.0,5.0,0,1,1,0
0,10.0,3.0,1,17.0,4.0,1,3.0,55,3.0,0,5.0,3.0,0,8.0,4.0,1,0.39,0,28.0,3.0,1,1,1,0
0,6.0,8.0,0,8.0,6.0,0,6.0,30,8.0,1,10.0,5.0,0,3.0,6.0,1,0.25,1,25.0,6.0,1,0,0,0
0,7.0,1.5,0,30.0,6.0,0,4.0,119,8.0,1,7.0,7.0,0,7.0,6.0,1,0.45,0,25.0,5.0,0,1,0,0
1,5.0,2.0,1,15.0,5.0,1,4.0,231,2.0,0,20.0,3.0,0,3.0,7.0,1,0.41,1,25.0,5.0,1,1,0,0
1,5.0,2.0,1,20.0,1.0,0,5.0,135,5.0,0,10.0,5.0,0,5.0,1.0,1,0.16,1,20.0,1.0,1,1,1,0
0,7.0,3.0,0,25.0,6.0,0,6.0,72,5.0,0,0.0,6.0,0,7.0,7.0,1,0.29,0,25.0,5.0,0,1,0,0
0,7.0,2.0,0,50.0,7.0,0,6.0,135,5.0,0,0.0,7.0,0,7.0,8.0,0,0.19,0,50.0,9.0,0,0,0,0
1,5.0,0.0,0,20.0,6.0,1,3.0,170,1.0,0,5.0,3.0,0,5.0,7.0,1,-0.25,1,23.0,8.0,1,0,0,0
0,7.0,5.0,0,75.0,8.0,0,7.0,0,6.0,0,5.0,7.0,0,9.0,6.0,0,0.21,0,5.0,9.0,0,0,0,1
0,8.0,3.0,0,21.28,7.0,0,8.0,128,5.0,0,21.28,7.0,1,6.0,9.0,0,0.48,0,21.28,7.0,0,0,0,1
0,8.0,5.0,0,6.67,9.0,0,8.0,238,7.0,1,7.62,8.0,0,5.0,6.0,0,0.53,1,42.86,5.0,0,1,0,1
0,8.0,5.0,1,50.0,5.0,0,7.0,134,6.0,0,5.0,8.0,1,7.0,9.0,0,0.09,0,10.0,9.0,0,0,0,0
0,6.0,2.0,0,35.0,7.0,0,5.0,85,6.0,0,10.0,5.0,0,6.0,6.0,1,0.11,0,35.0,6.0,1,0,0,0
0,7.0,9.0,1,0.0,1.0,0,6.0,116,6.0,0,0.0,6.0,0,7.0,1.0,1,0.5,0,25.0,8.0,0,0,1,0
0,6.0,2.0,0,16.0,6.0,1,5.0,38,4.0,0,17.0,7.0,0,5.0,6.0,1,-0.15,1,16.0,6.0,0,0,0,0
0,10.0,2.0,0,35.0,9.0,0,8.0,123,10.0,1,5.0,10.0,1,8.0,10.0,0,-0.32,0,20.0,8.0,0,0,0,1
1,4.0,0.0,0,19.57,10.0,0,5.0,220,7.0,1,10.87,5.0,0,4.0,8.0,1,0.52,1,19.57,6.0,1,0,0,0
1,4.0,6.0,0,20.0,8.0,1,6.0,87,4.0,0,10.0,7.0,0,7.0,6.0,1,0.24,0,20.0,5.0,0,1,0,0
0,7.0,3.0,0,20.0,7.0,0,7.0,178,6.0,0,15.0,8.0,0,7.0,6.0,0,-0.23,0,20.0,3.0,0,1,0,0
0,6.0,3.0,1,14.89,5.0,0,5.0,99,8.0,1,10.64,8.0,0,6.0,5.0,1,0.49,0,21.28,6.0,0,0,1,1
1,4.0,12.0,0,30.0,8.0,0,5.0,207,8.0,1,15.0,5.0,0,2.0,6.0,1,0.31,1,20.0,7.0,1,0,0,0
0,9.0,6.0,0,25.0,6.0,0,7.0,109,8.0,1,0.0,7.0,0,6.0,7.0,0,-0.12,0,25.0,7.0,0,0,0,0
0,7.0,6.0,0,25.0,9.0,0,6.0,19,5.0,0,10.0,6.0,1,6.0,9.0,0,-0.06,0,20.0,9.0,0,0,0,1
0,6.0,2.0,0,15.0,6.0,0,3.0,82,5.0,0,18.0,5.0,0,7.0,5.0,1,0.4,0,18.0,7.0,1,0,1,1
1,4.0,3.0,1,20.0,4.0,0,4.0,87,5.0,0,10.0,5.0,0,4.0,7.0,1,0.33,1,20.0,7.0,1,0,0,0
1,4.0,2.0,0,20.0,6.0,1,2.0,76,2.0,0,5.0,6.0,1,6.0,9.0,1,0.49,0,30.0,5.0,0,1,0,0
0,6.0,1.0,1,40.0,5.0,1,6.0,81,4.0,0,0.0,5.0,0,4.0,6.400598653030681,0,-0.46,1,20.0,7.0,1,0,1,0
1,5.0,3.0,1,80.0,1.0,0,6.0,62,6.0,0,11.845930415807977,7.0,0,7.0,2.0,0,-0.06,0,10.0,1.0,0,1,1,0
0,9.0,1.0,0,30.0,9.0,0,9.0,141,10.0,1,0.0,9.0,0,9.0,7.0,0,0.64,0,20.0,6.0,0,0,0,1
0,6.0,3.0,0,15.0,7.0,0,6.0,109,5.0,0,15.0,6.0,0,5.0,8.0,0,0.08,1,15.0,7.0,0,0,0,0
0,7.0,4.0,0,40.0,6.0,0,7.0,16,6.0,0,20.0,6.0,0,6.0,6.0,0,-0.1,0,20.0,3.0,0,1,0,0
0,7.0,2.0,0,22.495346845216552,7.0,0,6.0,131,9.0,1,11.845930415807977,7.0,0,9.0,8.0,0,0.21,0,20.27075883701291,7.0,0,0,0,0
1,5.0,2.0,0,15.0,9.0,0,3.0,135,5.0,0,15.0,5.0,1,4.0,10.0,1,-0.52,1,15.0,7.0,1,0,0,0
0,6.0,4.0,0,25.0,7.0,1,3.0,192,2.0,0,0.0,4.0,0,6.0,6.0,1,-0.11,0,25.0,6.0,1,1,0,0
0,7.0,3.0,0,19.0,7.5,0,6.0,65,6.0,0,8.0,7.0,1,7.0,9.5,0,0.23,0,21.0,9.0,0,0,0,0
0,8.0,2.0,0,20.0,7.0,0,5.0,30,8.0,1,10.0,8.0,0,5.0,8.0,1,0.26,1,20.0,6.0,0,0,0,0
0,7.0,0.0,0,25.0,8.0,0,6.0,10,5.0,0,10.0,6.0,0,7.0,8.0,0,-0.21,0,20.0,7.0,0,0,0,0
0,10.0,3.0,0,19.0,6.0,0,10.0,191,7.0,1,8.0,10.0,0,9.0,8.0,0,0.63,0,21.0,7.0,0,0,0,1
0,9.0,3.0,0,22.495346845216552,10.0,0,8.0,135,9.0,1,11.845930415807977,9.0,1,7.0,10.0,0,0.21,0,20.27075883701291,10.0,0,0,0,1
0,7.0,3.4,0,20.0,7.0,0,7.0,224,7.0,1,30.0,8.0,1,6.0,9.0,0,0.26,0,10.0,8.0,0,0,0,1
0,7.0,2.0,1,15.0,5.0,1,7.0,42,4.0,0,10.0,8.0,0,7.0,3.0,0,0.01,0,35.0,4.0,0,1,1,0
0,10.0,10.0,1,20.0,5.0,0,10.0,68,9.0,1,10.0,10.0,0,10.0,4.0,0,-0.5,0,20.0,10.0,0,0,1,0
0,7.0,7.0,0,22.495346845216552,7.0,0,8.0,126,8.0,1,11.845930415807977,8.0,0,8.0,7.0,0,0.21,0,20.27075883701291,3.0,0,1,0,0
1,6.400597907324364,2.0,1,20.0,6.190411462160177,1,6.0,102,5.0,0,15.0,6.0,0,6.189995107632094,6.400598653030681,1,0.45,1,20.0,6.0,1,1,1,0
0,10.0,5.0,0,40.0,8.0,0,9.0,191,10.0,1,5.0,10.0,0,7.0,7.0,0,-0.11,0,0.0,10.0,0,0,0,1
1,4.0,6.0,0,20.0,6.0,1,6.0,30,3.0,0,20.0,3.0,0,1.0,6.0,1,0.58,1,20.0,6.0,1,1,0,0
1,5.0,4.0,0,14.0,6.0,1,4.0,214,4.0,0,16.0,6.0,0,7.0,6.0,1,-0.05,0,16.0,4.0,0,1,0,0
1,4.0,0.0,1,16.28,3.0,1,4.0,119,4.0,0,16.28,4.0,0,5.0,5.0,1,-0.12,1,18.6,3.0,1,1,1,0
0,8.0,5.0,1,22.0,5.0,0,8.0,226,9.0,1,10.0,8.0,0,8.0,7.0,0,0.29,0,30.0,8.0,0,0,0,0
0,9.0,2.0,0,20.0,9.0,0,6.0,130,6.0,0,10.0,6.0,1,6.0,10.0,1,0.21,0,20.0,6.0,0,1,0,0
0,7.0,3.0,0,13.51,7.0,0,6.0,109,7.0,1,18.92,6.0,0,6.0,7.0,0,0.09,0,21.62,5.0,0,1,0,0
0,9.0,1.0,0,15.0,7.0,1,9.0,109,2.0,0,20.0,7.0,0,5.0,6.0,0,0.79,1,30.0,6.0,0,0,0,0
1,4.0,2.0,0,25.0,6.0,1,3.0,51,2.0,0,5.0,4.0,0,2.0,5.0,1,0.12,1,15.0,5.0,1,1,1,0
0,8.0,3.0,0,18.6,7.0,0,8.0,251,8.0,1,16.28,8.0,0,8.0,6.0,0,-0.63,0,18.6,4.0,0,1,0,1
1,4.0,3.0,0,20.0,6.0,0,4.0,135,5.0,0,20.0,6.0,0,5.0,6.0,1,-0.26,1,10.0,5.0,0,1,0,0
1,5.0,0.0,0,30.0,7.0,1,7.0,135,2.0,0,10.0,7.0,0,8.0,7.0,0,0.37,0,20.0,7.0,0,0,0,0
0,10.0,3.0,0,15.0,10.0,0,10.0,195,6.0,0,15.0,7.0,0,6.0,8.0,0,0.58,0,20.0,7.0,0,0,0,0
0,10.0,4.0,1,15.0,5.0,0,10.0,126,6.0,0,10.0,10.0,0,10.0,7.0,0,0.31,0,50.0,6.0,0,1,0,1
0,7.0,3.0,0,70.0,8.0,1,4.0,243,2.0,0,0.0,5.0,0,8.0,8.0,1,0.59,0,15.0,6.0,1,1,0,1
0,6.0,8.0,1,40.0,4.0,0,6.0,17,7.0,1,5.0,6.0,0,7.0,4.0,0,-0.04,0,30.0,4.0,0,1,1,0
1,3.0,3.0,1,16.0,5.0,0,3.0,178,5.0,0,15.0,5.0,0,3.0,5.0,1,0.15,1,20.0,5.0,1,1,1,0
0,7.0,4.0,0,15.0,8.0,0,7.0,207,7.0,1,15.0,6.0,0,8.0,8.0,0,0.75,0,20.0,3.0,0,1,0,0
0,7.0,4.0,1,40.0,5.0,0,8.0,16,9.0,1,0.0,7.0,0,7.0,7.0,0,0.53,0,20.0,5.0,0,1,0,1
1,6.400597907324364,5.0,0,10.0,7.0,1,6.0,126,5.0,0,10.0,6.0,0,6.0,8.0,1,0.51,0,20.0,7.0,1,0,0,0
1,5.0,0.0,0,10.0,8.0,1,4.0,135,2.0,0,15.0,7.0,1,5.0,10.0,1,0.02,1,20.0,10.0,0,0,0,0
0,8.0,3.0,0,10.0,8.0,0,5.0,135,7.0,1,5.0,7.0,0,7.0,6.0,1,0.59,0,27.0,6.0,0,0,0,0
1,4.0,10.0,0,10.0,7.0,0,4.0,126,5.0,0,15.0,5.0,1,4.0,9.0,1,0.43,1,20.0,9.0,1,0,0,0
0,6.0,2.0,1,25.0,5.0,0,6.0,14,6.0,0,5.0,7.0,0,8.0,5.0,0,0.11,0,10.0,6.0,0,1,1,0
1,1.0,2.0,0,35.0,6.0,1,1.0,76,3.0,0,0.0,2.0,0,2.0,2.0,1,-0.23,1,5.0,4.0,1,1,1,0
0,6.0,6.0,0,10.0,6.0,1,3.0,126,3.0,0,10.0,5.0,0,5.0,6.0,1,-0.16,1,20.0,6.0,1,0,0,0
0,6.0,9.0,0,20.0,6.0,0,7.0,69,7.0,1,16.0,4.0,0,3.0,5.0,0,0.47,1,16.0,6.0,1,1,1,0
0,6.0,3.0,0,22.495346845216552,9.0,0,9.0,135,8.0,1,11.845930415807977,9.0,0,8.0,7.0,0,0.21,0,20.27075883701291,7.0,0,0,0,1
0,7.0,2.0,0,20.0,7.0,1,6.0,220,1.0,0,20.0,7.0,0,7.0,7.0,0,-0.61,0,20.0,6.0,0,0,0,0
0,6.0,7.0,1,15.22,5.0,0,4.0,30,5.0,0,19.57,5.0,0,5.0,8.0,1,0.11,1,19.57,5.0,1,1,0,0
0,9.0,5.0,0,15.0,6.0,0,8.0,134,7.0,1,5.0,9.0,0,10.0,7.0,0,-0.02,0,20.0,6.0,0,0,0,0
0,7.0,3.0,0,75.0,7.0,0,5.0,82,5.0,0,5.0,5.0,0,5.0,7.0,1,-0.05,1,5.0,6.0,1,0,0,0
0,8.0,4.0,0,14.0,7.0,0,7.0,112,8.0,1,14.0,8.0,0,8.0,8.0,0,-0.02,0,20.0,2.0,0,1,0,0
0,7.0,2.0,0,30.0,9.0,0,6.0,135,6.0,0,15.0,7.0,0,7.0,6.0,0,-0.22,0,15.0,6.0,0,0,0,0
1,1.0,2.0,0,20.0,6.0,1,1.0,177,3.0,0,15.0,6.0,0,8.0,6.0,1,0.11,0,20.0,5.0,0,1,0,0
0,7.0,5.0,0,10.0,6.0,0,8.0,207,6.0,0,20.0,8.0,0,10.0,7.0,0,-0.07,0,20.0,8.0,0,0,0,0
